202105030101,東京,障害３歳以上,未勝利,障3000m,ペースデータなし,判定不能,稍,14頭,"{'馬番3': {'コーナー通過順': ['3', '4', '3', '3'], '脚質': '先行', '人気': '7'}}",
202105030102,東京,サラ系３歳,未勝利,ダ1600m,35.4,M,重,15頭,"{'馬番6': {'コーナー通過順': ['3', '1'], '脚質': '先行', '人気': '6'}}","{'馬番15': {'コーナー通過順': ['8', '8'], '脚質': '中団', '人気': '7'}}"
202105030103,東京,サラ系３歳,未勝利,ダ1400m,35.7,M,重,16頭,,
202105030104,東京,サラ系３歳,未勝利,芝1600m,35.9,S,稍,18頭,,
202105030105,東京,サラ系２歳,新馬,芝1600m,36.5,S,良,11頭,"{'馬番1': {'コーナー通過順': ['3', '4'], '脚質': '先行', '人気': '9'}}",
202105030106,東京,サラ系３歳,未勝利,ダ2100m,30.6,M,重,14頭,"{'馬番7': {'コーナー通過順': ['5', '5', '4', '3'], '脚質': '中団', '人気': '6'}}",
202105030107,東京,サラ系３歳以上,１勝クラス,ダ1400m,35.1,M,重,16頭,"{'馬番8': {'コーナー通過順': ['10', '11'], '脚質': '後方', '人気': '10'}}","{'馬番16': {'コーナー通過順': ['1', '1'], '脚質': '逃げ', '人気': '7'}}"
202105030108,東京,サラ系３歳以上,１勝クラス,芝1800m,36.2,S,良,9頭,,
202105030109,東京,サラ系３歳以上,１勝クラス,芝2400m,37.5,S,良,10頭,,
202105030110,東京,サラ系３歳以上,２勝クラス,芝1400m,35.3,S,良,14頭,"{'馬番6': {'コーナー通過順': ['5', '5'], '脚質': '中団', '人気': '7'}}",
202105030111,東京,サラ系３歳以上,オープン,ダ1600m,34.7,H,重,16頭,"{'馬番8': {'コーナー通過順': ['13', '14'], '脚質': '後方', '人気': '8'}}",
202105030112,東京,サラ系３歳以上,２勝クラス,ダ1400m,34.7,H,重,16頭,,
