202105030301,東京,障害３歳以上,未勝利,障3000m,ペースデータなし,判定不能,良,14頭,"{'馬番2': {'コーナー通過順': ['8', '8', '3', '3'], '脚質': '中団', '人気': '7'}}",
202105030302,東京,サラ系３歳,未勝利,ダ1400m,34.7,H,良,16頭,"{'馬番16': {'コーナー通過順': ['1', '2'], '脚質': '逃げ', '人気': '11'}}","{'馬番13': {'コーナー通過順': ['9', '7'], '脚質': '中団', '人気': '8'}}"
202105030303,東京,サラ系３歳,未勝利,ダ1600m,35.6,M,良,16頭,"{'馬番11': {'コーナー通過順': ['15', '14'], '脚質': '後方', '人気': '10'}}",
202105030304,東京,サラ系３歳,未勝利,芝2000m,36.7,S,良,16頭,"{'馬番2': {'コーナー通過順': ['14', '13', '11'], '脚質': '後方', '人気': '7'}}",
202105030305,東京,サラ系２歳,新馬,芝1400m,34.8,M,良,18頭,,
202105030306,東京,サラ系３歳,未勝利,ダ2100m,31.4,M,良,16頭,,
202105030307,東京,サラ系３歳以上,１勝クラス,ダ1600m,35.1,H,良,12頭,"{'馬番5': {'コーナー通過順': ['3', '2'], '脚質': '先行', '人気': '6'}}","{'馬番6': {'コーナー通過順': ['5', '6'], '脚質': '中団', '人気': '8'}}"
202105030308,東京,サラ系３歳以上,１勝クラス,芝1600m,35.6,S,良,15頭,,
202105030309,東京,サラ系３歳以上,２勝クラス,芝1600m,35.8,S,良,9頭,"{'馬番8': {'コーナー通過順': ['8', '8'], '脚質': '後方', '人気': '6'}}",
202105030310,東京,サラ系３歳以上,２勝クラス,ダ1400m,36.1,M,良,16頭,"{'馬番8': {'コーナー通過順': ['1', '1'], '脚質': '逃げ', '人気': '7'}}",
202105030311,東京,サラ系３歳以上,３勝クラス,芝2400m,37.3,S,良,11頭,"{'馬番4': {'コーナー通過順': ['5', '5', '5', '3'], '脚質': '中団', '人気': '6'}}",
202105030312,東京,サラ系３歳以上,１勝クラス,ダ1400m,35.7,M,良,16頭,"{'馬番16': {'コーナー通過順': ['1', '2'], '脚質': '逃げ', '人気': '9'}}",
